Date,Expenses,Risks,GDP_Growth,CPI_Index
2021-01-31,52483.57076505617,0.021044317975023777,0.029641739608900482,0.21287751953613823
2021-02-28,49308.67849414408,0.010201649380601122,0.04564643655814006,0.40915522374782987
2021-03-31,53238.44269050346,0.013359069755507848,0.0038025489591025537,0.5132166629828778
2021-04-30,57615.149282040125,0.02098430617934562,0.03821902504375224,0.711890969210417
2021-05-31,48829.23312638332,0.02369233289997705,0.03087047068238171,0.9149024797074683
2021-06-30,48829.3152152541,0.020856841405949855,0.027009926495341324,1.2380645853317327
2021-07-31,57896.064077536954,0.019421758588058797,0.030917607765355022,1.4284465370926767
2021-08-31,53837.173645764546,0.018494481522053557,0.01012431085399107,1.6435239042093572
2021-09-30,47652.62807032524,0.012607390048162862,0.02780328112162488,1.841788315724095
2021-10-31,52712.80021792982,0.016400778958026458,0.033571125715117466,1.9833544138431185
2021-11-30,47682.91153593769,0.017696806145201062,0.044778940447415164,2.2404955545688696
2021-12-31,47671.351232148714,0.02528561113109458,0.024817297817263523,2.4780922062032085
2022-01-31,51209.81135783017,0.021718091447842307,0.02191506397106812,2.7176438035553607
2022-02-28,40433.59877671101,0.011184799223186331,0.024982429564154633,2.872174430815624
2022-03-31,41375.410837434836,0.021620419846973975,0.03915402117702074,3.1423141463624287
2022-04-30,47188.56235379514,0.01807458859791842,0.03328751109659684,3.2722215932228145
2022-05-31,44935.844398327885,0.016615389998470207,0.024702397962329613,3.501564447912828
2022-06-30,51571.23666297637,0.02305838144420434,0.03513267433113356,3.8110872292033267
2022-07-31,45459.87962239394,0.025154997612479756,0.0309707754934804,3.9615604129467923
2022-08-31,42938.48149332355,0.024656400595580993,0.039686449905328894,4.133245526466654
2022-09-30,57328.24384460777,0.015803912383886808,0.022979469061226474,4.338228094721036
2022-10-31,48871.118497567324,0.01845393812074393,0.02672337853402232,4.513054312015226
2022-11-30,50337.64102343962,0.02165631715701782,0.026078918468678422,4.63552114046192
2022-12-31,42876.25906893272,0.024877725635611796,0.015364850518678813,4.838949289202222
2023-01-31,47278.086377374086,0.01760412881077355,0.03296120277064576,4.985834103515916
2023-02-28,50554.61294854933,0.019071705116680916,0.03261055272179889,5.2095137250476755
2023-03-31,44245.03211288848,0.014468325129969858,0.03005113456642461,5.363542513335985
2023-04-30,51878.49009172836,0.014018966879596646,0.02765412866624853,5.641039233586862
2023-05-31,46996.80655040598,0.02406262911197099,0.015846292579495855,5.80187656897005
2023-06-30,48541.531251033615,0.026781200142854115,0.02579354677234641,5.985773493159766
2023-07-31,46991.46693885302,0.01963994939209833,0.026572854834732304,6.22644935402825
2023-08-31,59261.39092254469,0.02501766448946012,0.021977227307783807,6.364906138206552
2023-09-30,49932.51387631033,0.02180818012523817,0.02838714288333991,6.576279134936759
2023-10-31,44711.4453552205,0.016774401226974378,0.03404050856814538,6.841636272650881
2023-11-30,54112.72456051595,0.02180697802754207,0.048861859012105296,6.961262110922819
2023-12-31,43895.78175014489,0.027690182832329845,0.031745778128318386,7.170493803849435
